Title,Date,Start,End,Location,Description
Annual Emergency Preparedness for SOM Researchers ,2025-06-18,15:00,16:00,Zoom only,"Hurricane season is here. SOM will have an Emergency Preparedness ""webinar"" for PIs and their designees to go over research policies, emergency procedures and practices. Everyone involved in our research programs are encouraged to attend this annual presentation. The seminar will be held via zoom only, Wednesday, June 18th from 3pm to 4pm. Please mark your calendars to attend this important seminar. Topics to be covered, OR representatives available to answer questions regarding, include: Recommendations for Emergency Readiness – Actions to take now. SOM Plans and Policies for emergency events that require closure. SOM Emergency Operations Group (EOG) Responsibilities of On-Site Lead for Research Resources during an emergency closure. SOM Freezer Farm and Liquid Nitrogen Farm Policy. Vivarium considerations IRB and IACUC considerations OEHS and Biosafety during an emergency closure. Procurement and Receiving during an emergency closure. Sponsored Projects / Grants and Contracts Compliance Clinical Research considerations"
"The Ray J. Haddad, Jr., MD Memorial Lectureship & Resident Research Day",2025-06-20,08:00,13:30,"Tidewater Auditorium - 1440 Canal St., New Orleans, LA 70112","This year's Visiting Professor is Richard D. Ferkel, MD, a Fellowship-Trained Sports Medicine, Reconstructive Knee, and Shoulder Surgeon from UCLA. We will also have case presentations from Tulane University School of Medicine Orthopaedic Surgery PGY 2 - PGY 5 residency classes."
"Surgery Grand Rounds: The Theodore Drapanas, MD Endowed Lectureship",2025-06-20,08:00,09:00,"Hutchinson, 1st Floor Auditorium","Join us on Friday, June 20th, for our weekly Grand Rounds presentation at 8 AM! This week, we will hear from Karen Brasel, MD. Topic: ""Competency-Based Education: Why, What, and Where are We Going?”"
2025 Tech Talks - AI Demystified: Navigating the Future,2025-06-20,10:00,10:45,https://tulane.bridgeapp.com/learner/training/23b56305/enroll,"This session demystifies AI, exploring its everyday presence and impact on the workplace. We'll cover practical AI applications, discuss working alongside AI, debunk common misconceptions, and look at the future of AI from a practical perspective."
2025 Seminar Series Developing more effective  Tuberculosis Vaccines:  the AVAR-T program ,2025-06-20,11:00,12:00,TNPRC Auditorium ,"Developing more effective Tuberculosis Vaccines: the AVAR-T program Presented by: Warwick Britton, PhD, with the Tuberculosis Research Program, Centenary Institute, and the University of Sydney Hosted by: Chad Roy, PhD, The Center for Airborne Infection and Transmission Science Email: Tammy Naramore at tnaramor@tulane.edu or Venicia Stewart at vstewart1@tulane.edu for more information."
2025 Seminar Series Developing more effective Tuberculosis Vaccines: the AVAR-T program,2025-06-20,11:00,12:00,TNPRC Auditorium,"Developing more effective Tuberculosis Vaccines: the AVAR-T program Presented by: Warwick Britton, PhD, with the Tuberculosis Research Program, Centenary Institute, and the University of Sydney Hosted by Chad Roy, PhDThe Center for Airborne Infection and Transmission Science Email Tammy Naramore at tnaramor@tulane.edu for more information."
2025 Tech Talks - Excel Mastery: Intermediate Tools for Everyday Data,2025-06-24,13:00,13:45,https://tulane.bridgeapp.com/learner/training/4c4e2761/enroll,"This session focuses on intermediate Excel skills that support everyday data tasks. You’ll explore functions, formulas, conditional formatting, and pivot tables. Designed for those who already spend their work day in spreadsheets, this session emphasizes practical applications and time-saving techniques to help you work more efficiently with data."
2025 Tech Talks - Excel Mastery: Advanced Features and Integrations,2025-06-26,10:00,10:45,https://tulane.bridgeapp.com/learner/training/2620a340/enroll,"This advanced Excel session introduces powerful tools like XLOOKUP, Solver, and advanced formula and function uses. You’ll learn how to enhance your data analysis and streamline complex workflows using Excel’s more advanced capabilities. Ideal for those ready to explore what’s possible beyond the fundamentals."
Dr. Theodoros Karantanos | Targeted Therapies for TP53- and RAS-Mutated MDS/AML,2025-06-26,12:00,13:00,"LCRC Building, 1700 Tulane Avenue, New Orleans, LA  70112, 1st Floor Auditorium",Dr. Theodoros Karantanos of Johns Hopkins University will discuss emerging targeted therapies for TP53- and RAS-mutated MDS/AML. All are welcome to attend the seminar and enjoy lunch.
🖼️ Picture Day,2025-07-08,09:00,16:00,"Hutchinson Building, Room 1521 (First Floor)","This is a free event open to all Tulane faculty, residents, fellows, students, and staff. Location: Hutchinson Building Room 1521 (First Floor) An appointment isn't necessary to get your pictures taken, but it helps us keep track of everyone's email, so we can send the photos back as quickly as possible. Come anytime during your appointment window, and it's also okay if you need to come at a different time. *Please bring your white coat if you have one."
2025 Tech Talks - Intro to Adobe Creative Cloud,2025-07-08,13:00,13:45,https://tulane.bridgeapp.com/learner/training/63c9da35/enroll,"Unlock your creative potential and boost your productivity with Adobe Creative Cloud! This session is perfect for Tulane faculty and staff who want to explore how Adobe tools like Photoshop, Illustrator, InDesign, and Premiere Pro can enhance their work, from designing presentations and reports to creating engaging digital content. You’ll also learn how to access Tulane’s Adobe license and take advantage of built-in resources like Adobe Stock for high-quality images. Whether you're a beginner or looking to sharpen your skills, this session will help you maximize Adobe Creative Cloud in your day-to-day projects."
2025 Tech Talks - Intro to Research Technology Services,2025-07-10,10:00,10:45,https://tulane.bridgeapp.com/learner/training/cb277a17/enroll,"In this session, we’ll give you a broad overview of the research technology support and services available to Tulane researchers. Topics include data storage options, research software, and consultation services for specialized needs. Discover how Tulane IT can help streamline your workflow and bolster your research projects."
Cancer Seminar,2025-07-10,12:00,13:00,"Louisiana Cancer Research Center, 1st Floor Auditorium, 1700 Tulane Ave.","CAR T-Cell Engineering: Molecular Design, Mechanisms, and Therapeutic Promise, Januario E. Castro, MD - Mayo Clinic Arizona"
CancerConnect - Tulane Cancer Center + Tulane University School of Science & Engineering,2025-07-10,15:00,18:00,Paul Hall - 1st Floor Lobby - Uptown Campus,CancerConnect is a scientific networking event designed to foster collaboration between faculty and trainees from the Tulane Cancer Center and the Tulane School of Science & Engineering. The event will center around four interdisciplinary themes: • Computational Biology • Biomedical Engineering • Data Science & AI • Medicinal Chemistry Faculty liaisons from both the Tulane Cancer Center and the Tulane School of Science & Engineering whose work aligns with these themes will help guide conversations and spark potential collaborative connections among colleagues.
2025 Tech Talks - Dive into Qualtrics,2025-07-14,13:00,13:45,https://tulane.bridgeapp.com/learner/training/c21cc4c4/enroll,"Discover how to access and use Tulane’s free Qualtrics platform in this 45-minute session designed especially for beginner and intermediate skill levels. You’ll learn how to create surveys, analyze data, and generate reports that support your work and decision-making. While the session is geared toward those newer to Qualtrics, more experienced users are welcome to attend, connect with colleagues, and share their own tips. Whether you're just getting started or looking for a refresher, this session will help you explore how Qualtrics can streamline your data collection and elevate your projects."
TNPRC Core & Research Services Seminar Series: Flow Cytometry Core & Immunology Assay Services,2025-07-15,11:00,12:00,Tulane National Primate Research Center Auditorium (Covington) and ZOOM,"Please join us for the first installment in a new seminar series which will highlight Tulane National Primate Research Center's research cores and services. These seminars are an opportunity to learn about specialized equipment, expert teams, and unique capabilities that are available to support cutting-edge research."
2025 Tech Talks - Maximizing Collaboration with Microsoft Teams at Tulane,2025-07-15,13:00,13:45,https://tulane.bridgeapp.com/learner/training/1fe1d34c/enroll,"Ready to make some waves in your daily communication? Join us to explore how Tulane's Office of Strategic Summer Programs uses Microsoft Teams to stay connected, organized, and aligned! This session will provide a behind-the-scenes look at how Teams can support project planning, document sharing, and productivity; Teams is so much more than just instant messaging and virtual meetings. Whether you're a Teams rookie or looking to get new ideas, you'll walk away with practical insights and examples for your team."
IP and Innovation Workshop Series,2025-07-16,12:00,14:00,"Reynolds Board Room, Tidewater Building Room 2401","Join the Office of Intellectual Property Management and the Tulane University Innovation Institute for an accessible intellectual property (IP) education workshop series, emphasizing practical knowledge, interactive learning, and meaningful engagement. We'll provide complimentary beverages and desserts, and mystery prizes await the most engaged participants—so bring your curiosity and your lunch to this interactive ""lunch and learn"" experience! Open to faculty, postdoctoral fellows, research staff, and senior graduate students from all Tulane campuses and schools."
2025 Tech Talks - AI Tools & Resources to Power Your Tech Toolkit,2025-07-17,10:00,10:45,https://tulane.bridgeapp.com/learner/training/7d7dfe31/enroll,"Close out our Summer Tech Talks Series with a hands-on session focused on AI-driven tools and resources that support all program topics—including Excel, Teams, Adobe, and Qualtrics—hosted and delivered via LinkedIn Learning. We’ll highlight practical solutions to streamline workflows, automate tasks, and integrate platforms, empowering you to maximize productivity across your digital toolkit. Join us to discover essential resources and actionable strategies for getting the most out of your tech stack, all within the LinkedIn Learning environment."
Child and Adolescent Psychiatry Grand Rounds every Friday from 1-2 pm,2025-07-18,13:00,14:00,Location: Murphy Rm 1439 Grand Rounds Room  ,"Grand Rounds presentations focus on a clinical, scientific or research subject, with some providing a broad overview while others provide a more in-depth look at particular research studies. Other Grand Rounds presentations focus more on presenting a clinical case or on a clinical practice issue. Others focus on a topic relevant to clinical or scientific mental health practice (e.g., ethics, electronic communication with patients, etc.). All presenters include references (with citations) to empirically researched data (typically peer reviewed journals) within their presentation."
Hutchinson Bldg. Biosafety Cabinet Certifications,,00:00,00:00,Hutchinson Building,"The week of Monday, July 21, 2025, our Biosafety Technicians with support from Allometrics will be onsite at the Hutchinson Building to complete annual biosafety cabinet certifications. As part of the Office of Biosafety’s maintenance program, all biosafety cabinets in use are required to be certified annually. Please share with your laboratory personnel to prepare for this visit. Contact Hayley Callison at 985.871.4848 or hcallison@tulane.edu with any questions."
Meditation: A Powerful Tool for Busy Minds,2025-07-29,13:00,14:00,"Murphy Building, Room 220","Join us for a refreshing session of breathwork and meditation, designed to help reduce stress, improve focus, and enhance overall well-being. This informal gathering will be an opportunity to learn simple and effective wellbeing techniques that can be easily incorporated into daily life. Dr. Rachal and Dolly Anadkat, graduates of the Healing Breaths Wellbeing Champion Training, will share strategies and offer insights into promoting relaxation and mental clarity. We will also be joined by Dr. Somya Ramrakhyani from Healing Breaths, who will share more about techniques that support balance and wellbeing. Feel free to share this invitation with colleagues who may be interested. We look forward to seeing you there! About Healing Breaths Art of Living Healing Breaths offers evidence-based breathwork and meditation programs designed specifically for healthcare professionals."
Mid-Year Momentum: Driving Continuous Performance Management,2025-07-31,10:00,11:00,Zoom,"Mid-Year Momentum 2025 is designed to help Tulane managers better support their teams through ongoing conversations, coaching, and feedback—not just annual reviews. The focus is on building everyday habits that make everyone’s work experience more rewarding. Key Focus Areas: - Setting and adjusting SMART goals - Holding regular Check-Ins to align, guide, and support employees - Reinforcing Tulane’s values through everyday feedback and recognition - Giving clear, timely feedback with simple models (CORE, SBI) - Preparing for our new performance system in Oracle HCM Why It Matters: Managers play a key role in helping employees thrive. This session helps managers connect with and support their teams, creating a positive work environment and ensuring everyone moves forward together. Feel free to edit, tweak as you see fit!"
TNPRC 2025 Seminar Series: A metabolic approach to cure HIV,2025-07-31,11:00,12:00,Tulane National Primate Center Auditorium (Covington) and on Zoom,"Please join us for a Seminar Series presentation by Eliseo Eugenin, PhD, of the Department of Neurobiology at The University of Texas Medical Branch."
Anesthesiology Grand Rounds,2025-08-01,06:30,07:30,Esplanade 2 conference room 1st floor Tulane East Jefferson Medical Center,"Kraig S. de Lanzac, MD, MBA, FASA, “Video Laryngoscopes and Supraglottic Airways: When Good Airways Go Bad.”"
Orthopaedics Grand Rounds,2025-08-05,18:00,20:00,Hutchinson Room 1001,Interested in joining in-person or via Zoom? Email OrthoGrandRounds@tulane.edu
The Matas Library Book Club,2025-08-11,15:00,16:00,Matas Library - Room 207,"The Matas Library Book Club is a book club for students, faculty, and staff to gather and discuss literature geared towards the health sciences. Please join us for our first in-person meeting on August 11th at 3 PM in the library's common area (Hutchinson Building, 2nd Floor). Light snacks will be provided. We'll be introducing the semester's book choice, meeting times, and where to locate a copy of the selected book. This semester, we will be reading What the Eyes Don't See by Dr. Mona Hanna. Dr. Hanna is a pediatrician and public health advocate who exposed the water crisis in Flint, Michigan, after discovering the drinking water supply was contaminated with lead. RSVP HERE: https://forms.office.com/Pages/ResponsePage.aspx?id=g4HpndklE0ufw03lSJwfOwujj7VQm7pMqUY4XgLqfm1URTdGVkxTQjVGWDQ0TDdYOTVKWUxNTlJISS4u"
Mid-Year Momentum: Driving Continuous Performance Management,2025-08-12,10:00,11:00,Zoom,"Mid-Year Momentum 2025 is designed to help Tulane managers better support their teams through ongoing conversations, coaching, and feedback—not just annual reviews. The focus is on building everyday habits that make everyone’s work experience more rewarding. Key Focus Areas: - Setting and adjusting SMART goals - Holding regular Check-Ins to align, guide, and support employees - Reinforcing Tulane’s values through everyday feedback and recognition - Giving clear, timely feedback with simple models (CORE, SBI) - Preparing for our new performance system in Oracle HCM Why It Matters: Managers play a key role in helping employees thrive. This session helps managers connect with and support their teams, creating a positive work environment and ensuring everyone moves forward together. Feel free to edit, tweak as you see fit!"
Ride the Wave to Wellness Health Fair,2025-08-13,10:00,13:00,Wave City Market - 1415 Tulane Ave.,"Stop by for wellness giveaways, blood pressure screenings, stress & sleep assessments, information about health weight management and TU Fit, and to meet K-9 Max! WHEN: Wednesday, August 13 from 10 a.m. to 1 p.m. WHERE: Wave City Market - 1415 Tulane Ave."
Provost's Proof of Concept ,2025-08-14,11:00,12:15,Zoom,"Join us for a virtual session to review the Provost's Proof of Concept funding opportunity! In this webinar, we walk through the application details and answer any questions. This funding, up to $50,000, supports the advancement of market-ready innovations and covers various expenses including studies and consulting, customer discovery efforts, detailed IP analysis, and prototype development, all aimed at bringing research to life. This opportunity is available to Tulane faculty, staff, graduate students, post docs, fellows, and trainees."
COBRE Sex-Based Precision Medicine Seminar,2025-08-21,01:00,02:00,Hutch 4001,"Monthly seminars for the Tulane Center of Biomedical Research Excellence in Sex-Based Precision Medicine. Bing Yu, PhD, FAHA Professor of Epidemiology, School of Public Health, University of Texas Health Science Center at Houston ""Multi-Omic Integration in Cardiovascular Diseases: Insights from Sex Dimorphism and Different Biofluids"""
COBRE Sex-Based Precision Medicine Seminar,2025-08-21,13:00,14:00,Hutch 4001,"Bing Yu, PhD, FAHA Professor of Epidemiology, School of Public Health, University of Texas Health Science Center at Houston ""Multi-Omic Integration in Cardiovascular Diseases: Insights from Sex Dimorphism and Different Biofluids"""
Apply to the Provost's Proof of Concept Funding Opportunity!,,00:00,00:00,https://tuinnovation.startuptree.co/event/s/T9jYPsALywKGsovXQ8uCaT/Fall-2025-Provost%2527s-Proof-of-Concept-Application-,"The Provost Proof of Concept (PPOC) Fund, administered by Tulane’s Innovation Institute, furthers the vision of accelerating and amplifying ideas and discoveries benefiting New Orleans and society by providing funds for the development of Tulane technologies. ​ The PPOC is non-dilutive competitive grant funding and an early-stage commercialization resource for the Tulane research community. These funds will be used for early-stage development to determine the most actionable market application, formulate the most viable business model, and to develop proof-of-concept for a targeted application. In short, we seek to fund scalable technologies, products, and services.​ Winners will be awarded up to $50,000 for their innovation development. ​ Application Opens: Friday, July 18th, 2025 Application Closes: Friday, September 5th, 2025 For more information visit: https://innovation.tulane.edu/provosts-proof-concept-fund"
Matas Library of the Health Sciences Annual Open House,2025-09-08,10:00,12:00,"Matas Library Commons, 2nd Floor, Hutchinson Building (1430 Tulane Avenue) ","We’re excited to invite you to the Matas Library of the Health Sciences Annual Open House! Monday, September 9 10:00 AM – 12:00 PM Matas Library Commons, 2nd Floor, Hutchinson Building (1430 Tulane Avenue) Refreshments will be served! This Open House is a wonderful chance to: Meet our friendly library staff Explore our study and relaxation spaces Discover the services and resources available to support your work Share your ideas to help shape the future of the library At the Matas Library, we’re proud to support the Tulane Health Sciences Community, students, researchers, faculty, and staff alike. Your input helps us grow and continue offering innovative resources and services that empower the entire Downtown Campus. Mark your calendar and come see what Matas Library has to offer!"
John W. Deming Department of Medicine Grand Rounds,2025-09-08,12:00,13:00,Murphy Bldg. 7th Fl. Rm. 700-701,"Medicine Grand Rounds presents Bethany Branson Becnel, MS “Empowering Wellness: Introduction to the Tulane Med Wellness Committee & Mental Health First Aid” – Tulane Med Wellness"
Medicine Grand Rounds Resume,2025-09-08,12:00,13:00,131 S. Robertson Street,"No Grand Rounds John W. Deming Department of Medicine Weekly Grand Rounds Will resume September 8, 2025"
Picture Day,,00:00,00:00, Hutchinson Building Room 1521 (First Floor),"This is a free event open to all Tulane faculty, residents, fellows, students and staff. Location: Hutchinson Building Room 1521 (First Floor) An appointment isn't necessary to get your pictures taken but it helps us keep track of everyone's email, so we can send the photos back as quickly as possible. Come any time during your appointment window, and it's also okay if you need to come at a different time. *Please bring your white coat if you have one."
COBRE Sex-Based Precision Medicine Seminar,2025-09-11,01:00,02:00,Hutch 6065,"Karen Reue, PhD Vice Chair of Academic Affairs and Professor of Human Genetics, UCLA School of Medicine ""Do these (X chromosome) genes make me look fat? Exploring sex determinants of obesity and lipid metabolism"""
COBRE Sex-Based Precision Medicine Seminar,2025-09-11,13:00,14:00,Hutch 6065,"Karen Reue, PhD Vice Chair of Academic Affairs and Professor of Human Genetics, UCLA School of Medicine ""Do these (X chromosome) genes make me look fat? Exploring sex determinants of obesity and lipid metabolism"""
John W. Deming Department of Medicine Grand Rounds,2025-09-15,12:00,13:00,"Murphy Bldg., 7th Fl. Rm. 700-701","Medicine Grand Rounds presents Dr. Charles Schulman from Harvard Medical School on ""Cardiac Amyloidosis"""
BIO on the BAYOU,,00:00,00:00,Jung Hotel,"BIO on the BAYOU is a pivotal showcase of underrepresented yet burgeoning biotech and health-related research emerging from universities and small companies in the broader Gulf South. Despite the region's historical challenges with limited resources and restricted industry and investor capital access, BIO on the BAYOU serves as the catalyst for regional change agents to overcome these obstacles and create opportunities. By bringing together investors, companies, academics, and foundations at a single venue, BIO on the BAYOU showcases the broader Gulf South's assets, expertise, and innovations that are often overlooked at larger life sciences conferences. This builds a robust ecosystem for life sciences in the region and fosters essential connections and collaborations, propelling groundbreaking ideas toward real-world impact. With its emphasis on inclusivity and collaboration, BIO on the BAYOU exemplifies how strategic networking and exposure can accelerate the growth of biotech research and startups, fortifying the broader Gulf South as a vital contributor to the global life sciences landscape."
BIO on the BAYOU (Day 2),,00:00,00:00,Jung Hotel,www.bioonthebayou.com
